Test Name,Skill Name,School Name,Focus Group Category,Focus Group,MGP (2016),Count (2016),MGP (2017),Count (2017),MGP (2018),Count (2018),MGP Change from 2016-2017,MGP Change from 2017-2018
COSAT,ELA,North High School,EL Status,ELL,,,,14,42.5,138,,
COSAT,ELA,North High School,EL Status,Redesignated/Exited ELL,,,62,53,42,104,,-20
COSAT,ELA,North High School,SPED Status,SPED,,,,14,32.5,70,,
COSAT,ELA,North High School,SPED Status,Non-SPED,,,55,138,41,577,,-14
COSAT,ELA,North High School,SOC Status,SOC,,,52.5,142,38.5,562,,-14
COSAT,ELA,North High School,SOC Status,Non-SOC,,,,10,48,85,,
COSAT,ELA,North High School,GT Status,GT,,,62,44,44,148,,-18
COSAT,ELA,North High School,GT Status,Non-GT,,,51,108,38,499,,-13
CMAS,ELA,All Schools,Overall,All Students,56,"32,930",57,"33,481",55,"28,702",1,-2
CMAS,ELA,All Schools,Grade,4th Grade,54,"5,468",55,"5,565",51,"5,403",1,-4
CMAS,ELA,All Schools,Grade,5th Grade,55,"6,184",57,"6,010",54,"6,011",2,-3
CMAS,ELA,All Schools,Grade,6th Grade,54,"5,674",60,"5,953",56,"5,882",6,-4
CMAS,ELA,All Schools,Grade,7th Grade,56,"5,574",56,"5,590",58,"5,821",0,2
CMAS,ELA,All Schools,Grade,8th Grade,57,"5,205",53,"5,481",57,"5,585",-4,4
CMAS,ELA,All Schools,Grade,9th Grade,59,"4,825",61,"4,882",,,2,
CMAS,ELA,All Schools,Ed Level,Elementary,54,"11,652",56,"11,575",52,"11,414",2,-4
CMAS,ELA,All Schools,Ed Level,Middle,56,"16,453",57,"17,024",57,"17,288",1,0
CMAS,ELA,All Schools,Ed Level,High,59,"4,825",61,"4,882",,,2,
CMAS,ELA,All Schools,Race/Ethnicity,Native American,55,209,54.5,204,50.5,158,-1,-4
CMAS,ELA,All Schools,Race/Ethnicity,Asian,63,"1,097",71,"1,116",65,939,8,-6
CMAS,ELA,All Schools,Race/Ethnicity,Black,52,"4,436",53,"4,460",50,"3,815",1,-3
CMAS,ELA,All Schools,Race/Ethnicity,Hispanic,52,"18,917",54,"18,785",52,"15,508",2,-2
CMAS,ELA,All Schools,Race/Ethnicity,White,65,"7,119",64,"7,604",63,"7,046",-1,-1
CMAS,ELA,All Schools,Race/Ethnicity,Native Hawaiian/PI,45,73,57.5,80,62.5,88,13,5
CMAS,ELA,All Schools,Race/Ethnicity,Two+ Races,59,"1,079",59,"1,232",58.5,"1,148",0,-1
CMAS,ELA,All Schools,FRL Status,FRL,52,"22,902",54,"22,537",51,"18,772",2,-3
CMAS,ELA,All Schools,FRL Status,Non-FRL,64,"10,028",63,"10,944",62,"9,930",-1,-1
CMAS,ELA,All Schools,EL Status,Non-ELL,57,"17,628",57,"18,408",56,"16,581",0,-1
CMAS,ELA,All Schools,EL Status,ELL,49,"9,526",54,"9,781",52,"7,306",5,-2
CMAS,ELA,All Schools,EL Status,Redesignated/Exited ELL,62,"5,776",62,"5,292",57,"4,815",0,-5
CMAS,ELA,All Schools,SPED Status,SPED,38,"3,580",42,"3,579",43,"3,176",4,1
CMAS,ELA,All Schools,SPED Status,Non-SPED,58,"29,350",59,"29,902",57,"25,526",1,-2
CMAS,ELA,All Schools,SOC Status,SOC,53,"25,811",55,"25,877",53,"21,656",2,-2
CMAS,ELA,All Schools,SOC Status,Non-SOC,65,"7,119",64,"7,604",63,"7,046",-1,-1
CMAS,ELA,All Schools,GT Status,GT,67,"6,767",65,"5,579",67,"3,438",-2,2
CMAS,ELA,All Schools,GT Status,Non-GT,53,"26,163",55,"27,902",54,"25,264",2,-1
COSAT,ELA,All Schools,Overall,All Students,,,51,"3,974",40,"14,015",,-11
COSAT,ELA,All Schools,Grade,9th Grade,,,,,37,"5,095",,
COSAT,ELA,All Schools,Grade,10th Grade,,,,,38,"4,648",,
COSAT,ELA,All Schools,Grade,11th Grade,,,51,"3,974",45,"4,272",,-6
COSAT,ELA,All Schools,Ed Level,High,,,51,"3,974",40,"14,015",,-11
COSAT,ELA,All Schools,Race/Ethnicity,Native American,,,28.5,24,28,90,,-1
COSAT,ELA,All Schools,Race/Ethnicity,Asian,,,55,149,38,493,,-17
COSAT,ELA,All Schools,Race/Ethnicity,Black,,,44,535,34,"1,834",,-10
COSAT,ELA,All Schools,Race/Ethnicity,Hispanic,,,49,"2,267",37,"8,056",,-12
COSAT,ELA,All Schools,Race/Ethnicity,White,,,60,824,51,"2,964",,-9
COSAT,ELA,All Schools,Race/Ethnicity,Native Hawaiian/PI,,,,8,33,35,,
COSAT,ELA,All Schools,Race/Ethnicity,Two+ Races,,,51,137,45,543,,-6
COSAT,ELA,All Schools,FRL Status,FRL,,,47,"2,398",37,"8,811",,-10
COSAT,ELA,All Schools,FRL Status,Non-FRL,,,55,"1,573",46,"5,203",,-9
COSAT,ELA,All Schools,EL Status,Non-ELL,,,54,"2,057",43,"7,345",,-11
COSAT,ELA,All Schools,EL Status,ELL,,,35,548,36,"2,799",,1
COSAT,ELA,All Schools,EL Status,Redesignated/Exited ELL,,,54,"1,366",38,"3,870",,-16
COSAT,ELA,All Schools,SPED Status,SPED,,,31,282,35,"1,268",,4
COSAT,ELA,All Schools,SPED Status,Non-SPED,,,53,"3,689",40,"12,747",,-13
COSAT,ELA,All Schools,SOC Status,SOC,,,49,"3,150",37,"11,051",,-12
COSAT,ELA,All Schools,SOC Status,Non-SOC,,,60,824,51,"2,964",,-9
COSAT,ELA,All Schools,GT Status,GT,,,59,"1,107",47,"3,482",,-12
COSAT,ELA,All Schools,GT Status,Non-GT,,,47,"2,864",38,"10,532",,-9
CMAS,Math,Cheltenham Elementary School,Overall,All Students,43,101,55,99,35,112,12,-20
CMAS,Math,Cheltenham Elementary School,Grade,4th Grade,70,43,56,55,35,58,-14,-21
CMAS,Math,Cheltenham Elementary School,Grade,5th Grade,29,58,48.5,44,35,54,19.5,-13.5
CMAS,Math,Cheltenham Elementary School,Ed Level,Elementary,43,101,55,99,35,112,12,-20
CMAS,Math,Cheltenham Elementary School,Race/Ethnicity,Native American,,2,,,,,,
CMAS,Math,Cheltenham Elementary School,Race/Ethnicity,Asian,,2,,,,,,
CMAS,Math,Cheltenham Elementary School,Race/Ethnicity,Black,,13,,13,,13,,
CMAS,Math,Cheltenham Elementary School,Race/Ethnicity,Hispanic,44,79,55,81,36,87,11,-19
CMAS,Math,Cheltenham Elementary School,Race/Ethnicity,White,,2,,4,,7,,
CMAS,Math,Cheltenham Elementary School,Race/Ethnicity,Two+ Races,,3,,1,,5,,
CMAS,Math,Cheltenham Elementary School,FRL Status,FRL,43,100,55,97,35,108,12,-20
CMAS,Math,Cheltenham Elementary School,FRL Status,Non-FRL,,1,,2,,4,,
CMAS,Math,Cheltenham Elementary School,EL Status,Non-ELL,38.5,48,55,49,36,65,16.5,-19
CMAS,Math,Cheltenham Elementary School,EL Status,ELL,52.5,42,45,42,22,41,-7.5,-23
CMAS,Math,Cheltenham Elementary School,EL Status,Redesignated/Exited ELL,,11,,8,,6,,
CMAS,Math,Cheltenham Elementary School,SPED Status,SPED,,12,,13,42,21,,
CMAS,Math,Cheltenham Elementary School,SPED Status,Non-SPED,44,89,57,86,35,91,13,-22
CMAS,Math,Cheltenham Elementary School,SOC Status,SOC,43,99,55,95,35,105,12,-20
CMAS,Math,Cheltenham Elementary School,SOC Status,Non-SOC,,2,,4,,7,,
CMAS,Math,Cheltenham Elementary School,GT Status,GT,,4,,,,2,,
CMAS,Math,Cheltenham Elementary School,GT Status,Non-GT,42,97,55,99,35,110,13,-20
CMAS,Math,College View Elementary School,Overall,All Students,42,129,61,121,44.5,120,19,-16.5
CMAS,Math,College View Elementary School,Grade,4th Grade,35.5,60,40.5,60,47,69,5,6.5
CMAS,Math,College View Elementary School,Grade,5th Grade,44,69,71,61,37,51,27,-34
CMAS,Math,College View Elementary School,Ed Level,Elementary,42,129,61,121,44.5,120,19,-16.5
CMAS,Math,College View Elementary School,Race/Ethnicity,Native American,,4,,1,,1,,
CMAS,Math,College View Elementary School,Race/Ethnicity,Asian,,13,,10,,7,,
CMAS,Math,College View Elementary School,Race/Ethnicity,Black,,9,,9,,9,,
CMAS,Math,College View Elementary School,Race/Ethnicity,Hispanic,42,99,60,97,45.5,98,18,-14.5
CMAS,Math,College View Elementary School,Race/Ethnicity,White,,3,,3,,4,,
CMAS,Math,College View Elementary School,Race/Ethnicity,Two+ Races,,1,,1,,1,,
CMAS,Math,College View Elementary School,FRL Status,FRL,42.5,126,61,119,45,119,18.5,-16
CMAS,Math,College View Elementary School,FRL Status,Non-FRL,,3,,2,,1,,
CMAS,Math,College View Elementary School,EL Status,Non-ELL,37,41,53.5,34,36,33,16.5,-17.5
CMAS,Math,College View Elementary School,EL Status,ELL,42,65,62,71,47.5,62,20,-14.5
CMAS,Math,College View Elementary School,EL Status,Redesignated/Exited ELL,46,23,,16,38,25,,
CMAS,Math,College View Elementary School,SPED Status,SPED,,12,,14,34,20,,
CMAS,Math,College View Elementary School,SPED Status,Non-SPED,43,117,62,107,46,100,19,-16
CMAS,Math,College View Elementary School,SOC Status,SOC,42.5,126,61.5,118,45.5,116,19,-16
CMAS,Math,College View Elementary School,SOC Status,Non-SOC,,3,,3,,4,,
CMAS,Math,College View Elementary School,GT Status,GT,,16,,1,,8,,
CMAS,Math,College View Elementary School,GT Status,Non-GT,39,113,60.5,120,45.5,112,21.5,-15
CMAS,Math,Trevista at Horace Mann,Overall,All Students,62.5,72,64,99,73.5,102,1.5,9.5
CMAS,Math,Trevista at Horace Mann,Grade,4th Grade,56,43,35.5,56,49,44,-20.5,13.5
CMAS,Math,Trevista at Horace Mann,Grade,5th Grade,76,29,86,43,84,58,10,-2
CMAS,Math,Trevista at Horace Mann,Ed Level,Elementary,62.5,72,64,99,73.5,102,1.5,9.5
CMAS,Math,Trevista at Horace Mann,Race/Ethnicity,Native American,,1,,2,,,,
CMAS,Math,Trevista at Horace Mann,Race/Ethnicity,Asian,,1,,1,,,,
CMAS,Math,Trevista at Horace Mann,Race/Ethnicity,Black,,9,,13,,16,,
CMAS,Math,Trevista at Horace Mann,Race/Ethnicity,Hispanic,61,57,54,80,71,83,-7,17
CMAS,Math,Trevista at Horace Mann,Race/Ethnicity,White,,4,,2,,3,,
CMAS,Math,Trevista at Horace Mann,Race/Ethnicity,Two+ Races,,,,1,,,,
CMAS,Math,Trevista at Horace Mann,FRL Status,FRL,62.5,70,64,96,73,97,1.5,9
CMAS,Math,Trevista at Horace Mann,FRL Status,Non-FRL,,2,,3,,5,,
CMAS,Math,Trevista at Horace Mann,EL Status,Non-ELL,61,33,54,48,68,56,-7,14
CMAS,Math,Trevista at Horace Mann,EL Status,ELL,62,36,66,40,78,37,4,12
CMAS,Math,Trevista at Horace Mann,EL Status,Redesignated/Exited ELL,,3,,11,,9,,
CMAS,Math,Trevista at Horace Mann,SPED Status,SPED,,13,36,21,53,30,,17
CMAS,Math,Trevista at Horace Mann,SPED Status,Non-SPED,62,59,67,78,79.5,72,5,12.5
CMAS,Math,Trevista at Horace Mann,SOC Status,SOC,61.5,68,63,97,74,99,1.5,11
CMAS,Math,Trevista at Horace Mann,SOC Status,Non-SOC,,4,,2,,3,,
CMAS,Math,Trevista at Horace Mann,GT Status,GT,,2,,,,1,,
CMAS,Math,Trevista at Horace Mann,GT Status,Non-GT,62,70,64,99,74,101,2,10
CMAS,Math,Valverde Elementary School,Overall,All Students,41.5,58,30,71,39,83,-11.5,9
CMAS,Math,Valverde Elementary School,Grade,4th Grade,42.5,42,17,40,34,49,-25.5,17
CMAS,Math,Valverde Elementary School,Grade,5th Grade,,16,56,31,55.5,34,,-0.5
CMAS,Math,Valverde Elementary School,Ed Level,Elementary,41.5,58,30,71,39,83,-11.5,9
CMAS,Math,Valverde Elementary School,Race/Ethnicity,Black,,4,,6,,4,,
CMAS,Math,Valverde Elementary School,Race/Ethnicity,Hispanic,31,50,30,59,37,74,-1,7
CMAS,Math,Valverde Elementary School,Race/Ethnicity,White,,4,,5,,5,,
CMAS,Math,Valverde Elementary School,Race/Ethnicity,Two+ Races,,,,1,,,,
CMAS,Math,Valverde Elementary School,FRL Status,FRL,33,53,30,70,39,81,-3,9
CMAS,Math,Valverde Elementary School,FRL Status,Non-FRL,,5,,1,,2,,
CMAS,Math,Valverde Elementary School,EL Status,Non-ELL,51,20,44,24,48.5,30,-7,4.5
CMAS,Math,Valverde Elementary School,EL Status,ELL,31,33,28,47,32,51,-3,4
CMAS,Math,Valverde Elementary School,EL Status,Redesignated/Exited ELL,,5,,,,2,,
CMAS,Math,Valverde Elementary School,SPED Status,SPED,,9,,8,,8,,
CMAS,Math,Valverde Elementary School,SPED Status,Non-SPED,44,49,35,63,37,75,-9,2
CMAS,Math,Valverde Elementary School,SOC Status,SOC,32,54,30,66,38,78,-2,8
CMAS,Math,Valverde Elementary School,SOC Status,Non-SOC,,4,,5,,5,,
CMAS,Math,Valverde Elementary School,GT Status,GT,,2,,1,,2,,
CMAS,Math,Valverde Elementary School,GT Status,Non-GT,41.5,56,30,70,39,81,-11.5,9
CMAS,Math,Hill Campus of Arts and Sciences,Overall,All Students,49.5,594,65,597,65,559,15.5,0
CMAS,Math,Hill Campus of Arts and Sciences,Grade,6th Grade,50.5,224,70,203,75,171,19.5,5
CMAS,Math,Hill Campus of Arts and Sciences,Grade,7th Grade,57,185,62,215,64,185,5,2
CMAS,Math,Hill Campus of Arts and Sciences,Grade,8th Grade,39,185,63,179,59,203,24,-4
CMAS,Math,Hill Campus of Arts and Sciences,Ed Level,Middle,49.5,594,65,597,65,559,15.5,0
CMAS,Math,Hill Campus of Arts and Sciences,Race/Ethnicity,Native American,,2,,3,,2,,
CMAS,Math,Hill Campus of Arts and Sciences,Race/Ethnicity,Asian,,18,,15,,13,,
CMAS,Math,Hill Campus of Arts and Sciences,Race/Ethnicity,Black,43.5,124,56.5,122,64,113,13,7.5
CMAS,Math,Hill Campus of Arts and Sciences,Race/Ethnicity,Hispanic,45,216,62,200,64,168,17,2
CMAS,Math,Hill Campus of Arts and Sciences,Race/Ethnicity,White,57,210,71,219,69,229,14,-2
